,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,latitude,longitude,distance,description,priceByArea,hasPlan,floor,district,hasLift,parkingSpace_included_in_listing,floor_grouped,municipality_grouped
1,12,750.0,flat,60.0,True,1,1,"Calle de Alejandro Villegas, 23",Madrid,40.46461,-3.64891,7037,"LOFT DE DISEÑO. Orientación Este. Muy soleado y luminoso. Este loft te ofrece la posibilidad de vivir en espacios amplios completamente integrados unos con otros.  El dormitorio separado de las otras estancias por un amplio armario hace que sea una estancia completamente independiente. El cuarto de baño, tiene perfectamente delimitadas e individualizadas la zona de ducha con columna de hidromasaje, lavabo de acero y la zona del inodoro separada por puerta corredera de cristal al ácido.  La cocina integrada en salón-comedor equipada con todos los electrodomésticos y gran espacio de almacenamiento. Suelos de porcelánico gris. Paredes lisas. Calefacción y aire acondicionado INDIVIDUAL frío/calor. Agua caliente termo eléctrico de 100 litros. Edificio de 12 lofts muy tranquilo, a 3 minutos andando del metro Pinar del Rey y del Centro Comercial Gran Vía de Hortaleza. Acceso a M-30 a 2 minutos Posibilidad de plaza de garaje en el mismo edificio: + 60 €/mes. Trastero en el mismo edificio: +35€/mes. Disponibilidad inmediata. Se exigen garantías.",12.5,False,3,Hortaleza,True,False,3,Madrid
2,21,750.0,flat,70.0,True,2,1,Gregorio izquierdo,San Sebastián de los Reyes,40.55008,-3.6278,16145,"Estupendo piso muy iluminado, recientemente reformado.  Consta de dos dormitorios con armarios empotrados, baño con plato de ducha, espacioso salón y cocina equipada con electrodomésticos (incluye vitro, refrigerador, horno, microondas y lavadora). La calefacción es individual y a gas. El piso tiene muy buena comunicación, se encuentra a menos de 5 minutos andando de la estación de metro de Reyes Católicos, próximo a paradas de autobuses urbanos e inter urbanos Cerca del piso se encuentran, bibliotecas y múltiples servicios, parques, lugares de compra y ocio en general, así como variedad de tiendas, cafés y bares. Es un piso muy acogedor y muy bien ubicado. No pierdas esta oportunidad! Los datos indicados son de carácter informativo, sin valor contractual. Los impuestos no están incluidos.",10.714285714285714,True,0,Centro Urbano,False,False,0,Other
3,28,400.0,penthouse,67.0,True,2,2,Calle Madrid,Villamanrique de Tajo,40.06919,-3.24138,55041,"A estrenar ático con piscina en Calle Madrid, 28598, Villamanrique de Tajo, a 40 minutos del centro de Madrid. Es un piso soleado, construido en el año 2007, que tiene 67 m2 y dispone de 2 habitaciones y 2 cuartos de baño además de terraza de 8 m2. Ático a estrenar, reformado en urbanización privada que dispone de piscina y jardín, además de zona infantil.  Tiene la cocina completamente amueblada con electrodomésticos: nevera, horno, lavadora, vitrocerámica y campana extractora. La vivienda dispone de armarios empotrados en ambos dormitorios y dispone de puerta de seguridad y calefacción gas natural individual. Excelentes calidades. Comunidad por cuenta del inquilino 50€/mes. Acceso mediante vehículo privado por A3 y transporte público.  REQUISITOS: Documentación a aportar: - Contrato de trabajo. - Tres últimas nóminas. - Vida laboral ACTUALIZADA - DNI ó NIE. Conceptos por el alquiler: - 1 mes de fianza - 1 mes alquiler en curso - 1 mes comisión de agencia + 21% I. V. A   En Assel nos dedicamos a la gestión integral de patrimonio, alquiler y venta de viviendas.",5.970149253731344,False,2,unknown,False,False,2,Other
6,11,590.0,flat,70.0,True,3 or more,2,Rascafría,Rascafría,40.90739,-3.88159,56596,"-RASCAFRÍA- Piso de 70 m², exterior, amueblado y para entrar a vivir. La vivienda consta de salón con acceso a terraza exterior, tres dormitorios con armarios empotrados y dos baños completos. Cocina independiente. Calefacción y agua caliente mediant",8.428571428571429,False,unknown,unknown,False,False,unknown,Other
7,17,684.0,studio,45.0,True,0,1,"Av. José Antonio Corrales, 2",Madrid,40.48552,-3.61559,10656,"STUDIO SIN AMUEBLAR CON GARAJE, TRASTERO Y PISCINA, ALQUILER POR AÑOS A ESTRENAR DESDE 684€ (Sin comisión de agencias) Valdebebas Living ofrece una nueva formar de vivir en Madrid para personas que eligen tener su hogar, su espacio de trabajo, su comunidad en un sólo lugar. Ubicado en Valdebebas frente a el Parque Forestal Felipe VI (el mayor parque urbano de Madrid) un entorno natural ideal para el paseo, las actividades al aire libre y el deporte, con todo tipo de servicios de restauración y ocio. Junto a la próxima estación de metro de Valdebebas, a tan solo 10 min de Plaza de Castilla.  Cada apartamento ha sido diseñado primando el confort de nuestros residentes, y se ha dotado de climatización individual con aerotérmia (calor / frio) en todas las unidades. Todas los apartamentos son exteriores con vistas al parque, jardín o a la ciudad. Amenities Piscina Gimnasio (membership) Zona ajardinada Terraza en azotea con zona de barbacoa Concierge Pre-instalación de cargadores eléctricos para vehículos Pet-friendly Otros beneficios residentes Obra Nueva Studio sin amueblar Las tarifas son bonificadas únicamente el primer año Condiciones: Alquiler por años ¿Qué está incluido en el alquiler? Sin amueblar Parking Trastero Sin comisión de agencia. Comunicaciones, buenas conexiones por carretera y de transporte público. Renfe (tren de cercanías): Estación a 450 metros -> Líneas C1 y C10: 3 paradas -Nuevos Ministros",15.2,True,unknown,unknown,False,False,unknown,Madrid
8,19,600.0,flat,73.0,True,2,1,Manzanares el Real,Manzanares el Real,40.72724,-3.8627,37062,"¡ RAYAN CONSULTING INMOBILIARIO ALQUILA! Piso de 1993, 73 m2 construidos, 3º sin ascensor. Entrada: salón comedor con magnífica terraza y vistas al embalse. Cocina amueblada y equipada (nevera, lavadora, lavavajillas) dispone de terraza tendedero con vistas a las zonas comunes. 2 habitaciones, 2 a/e y 1 baño. ¡NO SE ADMITEN MASCOTAS! Calefacción bomba frio/calor, ventanas de PVC oscilobatiente cristal climalit. Suelos de tarima flotante AC5 y portero automático. Zonas comunes: piscina y jardín Parada del bus a 100 metros.  Para mas información contacte con su agente inmobiliario José Manzanares: 722 79 27 07.",8.219178082191782,False,3,unknown,False,False,3,Other
9,15,600.0,duplex,71.0,True,1,1,Calle de la Fuente,Miraflores de la Sierra,40.81076,-3.76519,44126,"Se alquila duplex céntrico en Miraflores de la Sierra, frente al centro de salud, ubicado cercano a todos los servicios necesarios para la vida diaria: Transporte, salud, comercio, educación, ocio, etc. Distribuido en dos plantas, en la planta superior se encuentra un amplio y luminoso salón con estufa de pellets y salida a una fantástica terraza con vistas a la montaña y al casco urbano, en esta planta también contamos con la cocina. En la planta baja contamos con el dormitorio, una estancia para darle cualquier uso y un baño completo.  Las condiciones son: Mes de fianza, mes de gestión, mes corriente y documentación que confirme ingresos recurrentes.",8.450704225352112,False,1,unknown,False,False,1,Other
11,17,550.0,flat,53.0,True,1,1,Avenida del Monte Igueldo,Madrid,40.39258,-3.66805,4008,"-PUENTE DE VALLECAS- Piso de 53m², exterior, amueblado y para entrar a vivir. La vivienda dispone de salón, un dormitorio, armario empotrado y un cuarto de baño con plato de ducha. Cocina independiente, amueblada y equipada con vitrocerámica, campana,",10.377358490566039,False,1,Puente de Vallecas,False,False,1,Madrid
12,19,700.0,studio,28.0,True,0,1,"Calle de Juan Pérez Zúñiga, 41",Madrid,40.4436,-3.64773,5569,"Se alquila sin muebles tranquilo estudio debido a los cerramientos nuevos con doble cristal tipo climalit, muy luminoso con un gran ventanal y orientación Sur/Oeste. Recien reformado con electrodomesticos a estrenar. Aire acondicionado con bomba de frio/calor. Piscina comunitaria y portero físico. A 650 m del metro Bº de la Concepción L4 y a 200 m de la calle Arturo Soria. Si quiere vivir en un barrio consolidado con todos los servicios cercanos, en un piso luminoso y tranquilo este puede ser el suyo. Llame y concierte una visita. (Seguro del hogar contratado a cargo del arrendatario 100€ aproximadamente al año).",25.0,True,1,Ciudad Lineal,False,False,1,Madrid
13,26,700.0,duplex,86.0,True,2,1,Calle Prado Mingo,Galapagar,40.5756,-4.0067,31153,"Remax Lodonar presente este magnífico Dúplex de 82 m2 construidos (68 m2 útiles) distribuidos de la siguiente manera: la planta baja cuenta con Recibidor (4 m2) con armarios empotrados (tres cuerpos + altillos), Cocina (5 m2) equipada (vitrocerámica, frigorífico, lavadora, campana, horno eléctrico), Salón-comedor (23 m2). En la planta superior se encuentran los dormitorios, uno de ellos con una superficie de unos 13 m2, dispone de Velux, y amplio armario empotrado de tres cuerpos. El segundo dormitorio, de unos 23 m2, puede usarse como tal, o bien como estudio y otro dormitorio separado por librerías. La vivienda se ubica en Urbanización cerrada con piscina, zonas verdes y seguridad. Dispone de ascensor. Calidades: solados en tarima flotante, carpintería interior en madera de pino, carpintería exterior oscilobatiente en PVC-climalit, caleldera mural estanca (Vaillant) de gas natural. Ubicación muy céntrica, pero a la vez en zona muy tranquila.",8.13953488372093,False,3,Casco Antiguo,True,False,3,Other
